term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
tfidf	True	True	jaccard	1,1,1,1	0.3141	0.2084	0.1056	0.0497	0.2094	0.2025	0.5241	0.1684
tfidf	True	True	jaccard	1,3,4,1	0.3116	0.2088	0.1069	0.0392	0.2091	0.1996	0.5109	0.1542
tfidf	True	True	jaccard	1,1,1,4	0.2579	0.1620	0.0944	0.0495	0.1714	0.1721	0.4995	0.1500
tfidf	True	True	dice	1,1,1,1	0.3141	0.2084	0.1056	0.0497	0.2094	0.2025	0.5241	0.1684
tfidf	True	True	dice	1,3,4,1	0.3116	0.2088	0.1069	0.0392	0.2091	0.1996	0.5109	0.1542
tfidf	True	True	dice	1,1,1,4	0.2579	0.1620	0.0944	0.0495	0.1714	0.1721	0.4995	0.1500
tfidf	True	True	overlap	1,1,1,1	0.1595	0.1426	0.0914	0.0184	0.1311	0.1169	0.5398	0.1659
tfidf	True	True	overlap	1,3,4,1	0.1787	0.1504	0.0883	0.0182	0.1391	0.1225	0.5319	0.1588
tfidf	True	True	overlap	1,1,1,4	0.1591	0.1263	0.0822	0.0214	0.1225	0.1107	0.5132	0.1632
boolean	False	False	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	False	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	False	True	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	False	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	cosine	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	cosine	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	cosine	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	jaccard	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	jaccard	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	jaccard	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	dice	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	dice	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	dice	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	overlap	1,1,1,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	overlap	1,3,4,1	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
boolean	True	True	overlap	1,1,1,4	0.0023	0.0031	0.0039	0.0044	0.0031	0.0032	0.2786	0.0677
